Commental title,Review main body
"Symbolism, life and social epitomes in the squid game","This drama is a bit like Joker's sense of view ......... . Clothing, set, game content, etc. There are also many symbolism ......... I'm impressive is the glass bridge. Once a person went to a glass, it is easy to start thinking that I can identify which is a strengthening glass. With inexplicable confidence, then it is broken in the next glass."
Stay up late,"The rhythm is good, the killing game line and the police investigation line are still clear. The people of the supporting angle setting is wonderful than the protagonist. In the setting of the rules of the game, each person value is 100 million won. When the prisoner looks at the money savings in the piggy bank, they are willing to accept the purchase of 100 million won pricing into commodities, becoming more than 4 million won. Fighting beast. Which reason has prompted them to give up self-pricing?"
"Too much symbolism, no wonder can't introduce",/
It is a small smart and discipline is a big wisdom.,"For me, the most shocking is ""First Off"". The ""shock"" of this off is: when the host said the rules of the game, the wood people see you ""do not move"". Then the game starts, there is really someone, it is very embarrassed. Then he was shot. When the first person was ""killed"", the rest of the person, desperately escaping. Try to open the door of the room, and no matter what the boy is still"
You can only jump with you before passing through the middle.,/
Squid game,/
Squid game: human nature is evil?,/
"""One person knows why she can live any kind of life."" - ""Squid game"" character articles 067 Jiang Xiao","__ A person knows why you can endure any life. - Nietzsche 067 Jiang Xiao is probably a woman in this drama, Jiang Xiao is not cute, but I will be optimistic about her from the first episode, I can go for a long time. Jiang Xiaoxin hit the hand, you see that she deals with the snake head, she knows that she is a role, 123 wood people's game, a big block"
Just look at the top eight episodes or very ok,/
The man can't stand it.,"One gives Kong Liu, one to the subject, the rest of the people have a spoiler, mind do not look __________________ First, this should give the male actor, but the man is more mouth. Participating in the strike, let the pregnant wife climbed the hospital, causing the daughter almost dead, the results"
